name,state,county,city,population
Adams County,Washington,,,20557
Asotin County,Washington,,,22370
Benton County,Washington,,,207560
Chelan County,Washington,,,79076
Clallam County,Washington,,,77333
Clark County,Washington,,,504091
Columbia County,Washington,,,3980
Cowlitz County,Washington,,,110621
Douglas County,Washington,,,43189
Ferry County,Washington,,,7260
Franklin County,Washington,,,96692
Garfield County,Washington,,,2310
Grant County,Washington,,,99145
Grays Harbor County,Washington,,,75672
Island County,Washington,,,86510
Jefferson County,Washington,,,33006
King County,Washington,,,2254371
Kitsap County,Washington,,,275411
Kittitas County,Washington,,,44424
Klickitat County,Washington,,,22798
Lewis County,Washington,,,82663
Lincoln County,Washington,,,11036
Mason County,Washington,,,66053
Okanogan County,Washington,,,42336
Pacific County,Washington,,,23396
Pend Oreille County,Washington,,,13570
Pierce County,Washington,,,918993
San Juan County,Washington,,,18001
Skagit County,Washington,,,129480
Skamania County,Washington,,,12118
Snohomish County,Washington,,,828337
Spokane County,Washington,,,538711
Stevens County,Washington,,,46774
Thurston County,Washington,,,294272
Wahkiakum County,Washington,,,4476
Walla Walla County,Washington,,,62150
Whatcom County,Washington,,,226523
Whitman County,Washington,,,47141
Yakima County,Washington,,,256143
