County,Persons_No_Minors,Households_No_Minors,Persons_HH_W_Minor,Households_HH_W_Minor,Persons_HH_Only_Minor,Households_HH_Only_Minor,Total_Persons,Total_Households
Adams County,0,0,0,0,0,0,0,0
Asotin County,71,63,24,< 11,0,0,95,*
Benton County,78,69,111,32,13,13,202,114
Chelan County,246,226,143,41,0,0,389,267
Clallam County,118,116,60,20,0,0,178,136
Clark County,785,695,632,198,21,21,1438,914
Columbia County,17,17,0,0,0,0,17,17
Cowlitz County,174,167,97,30,0,0,271,197
Douglas County,< 11,< 11,< 11,< 11,0,0,20,14
Ferry County,< 11,< 11,< 11,< 11,0,0,< 11,< 11
Franklin County,13,13,0,0,0,0,13,13
Garfield County,0,0,0,0,0,0,0,0
Grant County,223,217,63,21,0,0,286,238
Grays Harbor County,120,115,< 11,< 11,< 11,< 11,134,124
Island County,110,102,35,12,< 11,< 11,146,115
Jefferson County,112,104,18,< 11,0,0,130,*
King County,9327,9324,3592,1121,449,449,13368,10894
Kitsap County,444,415,111,37,< 11,< 11,*,*
Kittitas County,33,30,23,< 11,0,0,56,*
Klickitat County,< 11,< 11,< 11,< 11,0,0,13,< 11
Lewis County,102,100,18,< 11,0,0,120,*
Lincoln County,0,0,0,0,0,0,0,0
Mason County,135,132,103,35,0,0,238,167
Okanogan County,41,39,16,< 11,0,0,57,*
Pacific County,108,91,< 11,< 11,0,0,*,*
Pend Oreille County,< 11,< 11,< 11,< 11,0,0,18,11
Pierce County,1516,1443,331,106,< 11,< 11,*,*
San Juan County,50,41,< 11,< 11,0,0,*,*
Skagit County,216,203,98,31,0,0,314,234
Skamania County,24,24,0,0,0,0,24,24
Snohomish County,882,846,287,92,15,15,1184,953
Spokane County,1457,1413,290,90,< 11,< 11,*,*
Stevens County,31,27,19,< 11,0,0,50,30
Thurston County,484,471,170,61,< 11,< 11,*,*
Wahkiakum County,< 11,< 11,0,0,0,0,< 11,< 11
Walla Walla County,133,132,14,< 11,< 11,< 11,151,140
Whatcom County,573,553,258,83,< 11,< 11,*,*
Whitman County,< 11,< 11,< 11,< 11,0,0,11,< 11
Yakima County,529,524,163,50,0,0,692,574
TOTAL,15741,14830,6732,2118,450,318,25452,20402
